c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.663755199,1.663755199,0,4.321208954,,,,,,,
c_r_rc_100_100/c101.txt ,1.630792966,1.685444245,3.35120893,6.877806902,,,,,,,
c_r_rc_100_100/c101.txt ,1.637612958,1.670148756,1.986781902,9.339673996,,,,,,,
c_r_rc_100_100/c101.txt ,1.645900029,1.687231381,2.511170288,9.838310957,,,,,,,
c_r_rc_100_100/c101.txt ,1.67191547,1.672859591,0.056469401,6.10315609,,,,,,,
c_r_rc_100_100/c101.txt ,1.625314243,1.666221063,2.516856051,9.632972002,,,,,,,
c_r_rc_100_100/c101.txt ,1.685367382,1.685367382,0,6.493124008,,,,,,,
c_r_rc_100_100/c101.txt ,1.661054793,1.661054793,0,7.753171921,,,,,,,
c_r_rc_100_100/c101.txt ,1.625650241,1.636453558,0.664553603,8.566992998,,,,,,,
c_r_rc_100_100/c101.txt ,1.653498519,1.653498519,0,4.694761992,,,,,,,
c_r_rc_100_100/c101.txt ,1.892459097,1.949268383,3.001876548,9.959254026,,,,,,,
c_r_rc_100_100/c101.txt ,1.612700492,1.634539439,1.35418491,10.41498494,,,,,,,
c_r_rc_100_100/c101.txt ,1.661931047,1.664724961,0.168112488,7.138451815,,,,,,,
c_r_rc_100_100/c101.txt ,1.676759774,1.681655145,0.291954227,8.617368937,,,,,,,
c_r_rc_100_100/c101.txt ,1.634863211,1.674445809,2.421156564,8.269205093,,,,,,,
c_r_rc_100_100/c101.txt ,1.627382931,1.663597001,2.225294973,8.063498974,,,,,,,
c_r_rc_100_100/c101.txt ,1.653032233,1.666439802,0.811089375,8.530403852,,,,,,,
c_r_rc_100_100/c101.txt ,1.90236201,1.940568241,2.00835755,10.00591803,,,,,,,
c_r_rc_100_100/c101.txt ,1.629556983,1.629556983,0,4.007977009,,,,,,,
c_r_rc_100_100/c101.txt ,1.648517911,1.648517911,0,4.150870085,,,,,,,
c_r_rc_100_100/c101.txt ,1.655478557,1.689451561,2.052156063,16.81617594,,,,,,,
